Mnemonic,ISIN,Issuer Name
BWNG,GB00B1P6ZR11,BROWN(N.)GROUP PLC
CGH,VGG203461055,CHAARAT GOLD HOLDINGS LD
ETX,GB00B2823H99,E-THERAPEUTICS PLC
CHAR,GG00B2R9PM06,CHARIOT LIMITED
BREE,JE00B2419D89,BREEDON GROUP PLC
AET,GB00B4X3Q493,AFENTRA PLC
ZIOC,VGG9888M1023,ZANAGA IRON
LIV,VGG550931015,LIVERMORE INVESTMENTS GROUP LD
WAND,JE00B6Y3DV84,WANDISCO PLC
RCN,GB00B7TW1V39,REDCENTRIC PLC
VRS,GB00B8YZTJ80,VERSARIEN PLC
GWI,GG00B979FD04,GLOBALWORTH REAL ESTATE INVESTMENTS
GMR,GB00BBHXD542,GAMING REALMS PLC
JAY,GB00BFD3VF20,BLUEJAY MINING PLC
HUR,GB00B580MF54,HURRICANE ENERGY PLC
CIR,GB00BJVD3B28,CIRCASSIA GROUP PLC
BOO,JE00BG6L7297,BOOHOO GROUP PLC
TRMR,IL0011320343,TREMOR INTERNATIONAL LTD
EPWN,GB00BNGY4Y86,EPWIN GROUP PLC
SMV,GB00BNG8T458,SMOOVE PLC
SAVE,GB00BP41S218,SAVANNAH ENERGY PLC
AXS,GB00BQQFX454,ACCSYS TECHNOLOGIES PLC
HSS,GB00BVFD4645,HSS HIRE GROUP PLC
ALL,AU0000XINEX3,ATLANTIC LITHIUM LIMITED
SLE,IE00BWVFTP56,SAN LEON ENERGY PLC
PURP,GB00BYV2MV74,PURPLEBRICKS GROUP PLC
MCL,GB00BZ6C4F71,MORSES CLUB PLC
JOUL,GB00BZ059357,JOULES GROUP PLC
VCP,GB00BZC0LC10,VICTORIA PLC
KEFI,GB00BD8GP619,KEFI GOLD AND COPPER PLC
I3E,GB00BDHXPJ60,I3 ENERGY PLC
GRP,IE00BF2NR112,GREENCOAT RENEWABLES PLC
KETL,IM00BF0FMG91,STRIX GROUP PLC
NCYT,FR0010397232,NOVACYT S.A.
TENG,GB00BF188X60,TEN LIFESTYLE GROUP PLC
FNTL,GB00BG1THS43,FINTEL PLC
KGH,GB00BFYF6298,KNIGHTS GROUP HOLDINGS PLC
YCA,JE00BF50RG45,YELLOW CAKE PLC
