Stock,Epic,Qty,Price,Target,Stop,Buy Date,Sell,Sell Date,P/L
Ab Dynamics,ABDP,300,1470.0,1700,1300,16/04/2020,1824.0,11/11/2021,1062.0
Ramsdens,RFX,5000,120.9,145,100,15/04/2020,163.9,11/10/2021,2150.0
Cohort,CHRT,1000,500.0,600,350,14/04/2020,,,
K3C,K3C,2500,140.9,180,110,07/04/2020,170.55,25/06/2020,741.0
Elecosoft,ELCO,5000,55.8,69,48,07/04/2020,81.0,22/07/2020,1260.0
ITV,ITV,5000,56.48,70,52,03/04/2020,77.1,28/04/2020,1031.0
Begbies,Beg,6000,79.0,100,70,01/04/2020,126.18,04/02/2022,2810.0
TP Group,TPG,100000,5.35,7,5,31/03/2020,5.0,15/06/2021,-350.0
Ab Dynamics,ABDP,1000,1089.0,1500,850,26/03/2020,1824.0,11/11/2021,7350.0
Andrews Sykes,ASY,500,480.0,600,400,26/03/2020,615.0,02/09/2020,675.0
Computacentre,CCC,500,1012.0,1300,950,23/03/2020,2796.0,27/09/2021,8920.0
Qinetic,QQ.,1000,243.6,330,210,19/03/2020,,,
Avon Rubber,Avon,300,2030.0,2400,1900,17/03/2020,2528.4,12/07/2021,1495.0
Telecom Plus,TEP,500,958.0,1250,900,16/03/2020,,,
Zoom (US),ZM,5,116.0,130,104,16/03/2020,,,
Concurrent Tech,CNC,5000,94.0,130,80,11/02/2020,107.2,24/02/2020,660.0
Rank,Rank,1700,303.4,340,280,11/02/2020,321.24,24/02/2020,304.0
Imimobile,IMO,2500,393.0,450,375,07/02/2020,392.51,05/03/2020,-13.0
FDM,FDM,500,991.7,1100,950,03/02/2020,998.65,20/02/2020,35.0
Concurrent Tech,CNC,5000,86.0,100,75,28/01/2020,100.2,05/03/2020,710.0
RBG Group,RBGP,5000,61.9,90,52,18/01/2020,,,
Mission Group,TMG,5000,79.0,90,72,16/01/2020,101.41,17/02/2020,1120.0
Concurrent,CNC,5000,80.84,92,70,13/01/2020,98.2,07/09/2021,868.0
Beyond Meat (US),BYND,40,93.0,110,80,10/01/2020,115.0,25/02/2020,2480.0
Zytronic,ZYT,1500,226.9,280,190,09/01/2020,231.0,27/01/2020,62.0
Finablr,FIN,2500,125.92,140,118,09/01/2020,116.5,24/01/2020,-236.0
Draper Esprit,GROW,1000,486.0,550,450,07/01/2020,589.28,24/02/2020,1032.0
TP Group,TPG,10000,6.53,9,6,06/01/2020,6.08,05/03/2020,-45.0
Avon Rubber,Avon,100,2085.0,2500,1900,02/01/2020,2647.6,05/03/2020,562.0
Ten Entertainment,TEG,1000,258.6,300,210,29/11/2019,258.1,05/03/2020,-5.0
Cohort,CHRT,1000,560.0,650,500,27/11/2019,675.6,24/02/2020,1156.0
Vianet,VNET,5000,145.75,180,110,19/11/2019,132.3,27/02/2020,-1328.0
Kape Technology,KAPE,10000,90.0,150,80,19/11/2019,165.57,05/03/2020,7557.0
Kape Technology,KAPE,10000,90.0,150,80,19/11/2019,146.23,03/12/2019,5623.0
Avon Rubber,Avon,500,1927.9,2300,1700,14/11/2019,2647.6,05/03/2020,3963.0
Team 17,T17,1750,319.0,385,280,12/11/2019,552.54,25/06/2020,4087.0
Team 17,T17,1750,319.0,385,280,12/11/2019,800.0,06/01/2022,8418.0
Helios Towers,HTWS,3000,113.1,140,98,07/11/2019,151.2,03/01/2020,1143.0
