Segment,Sector,Issuer Name,ISIN,Sedol,Security Type,MiFIR Identifier,Currency,Trading Parameter Code,Price Tick Table ID,Country of Register,Mnemonic,Short Name,Long Name,Professional Investor Only,EMS,Max Spread Floor,Max Spread Perc.,ADT / PTS (EU),ADT / PTS (UK),Issuer Version Start Date
SET1,FS10,BUNZL PLC,GB00B0744B38,B0744B3,DE,SHRS,GBX,TP_2,TM_47,GB,BNZL,BUNZL,ORD 32 1/7P,N,750.0,1.0,5.0,14673693.0,44026361.0,04/12/2017
SET1,FS10,RENTOKIL INITIAL PLC,GB00B082RF11,B082RF1,DE,SHRS,GBX,TP_2,TM_47,GB,RTO,RENTOKIL INITL.,ORD 1P,N,3000.0,1.0,5.0,12554324.0,55259029.0,29/03/2018
SET1,FS10,HIKMA PHARMACEUTICALS PLC,GB00B0LCW083,B0LCW08,DE,SHRS,GBX,TP_2,TM_47,GB,HIK,HIKMA,ORD SHS 10P,N,1000.0,1.0,5.0,3425251.0,23486084.0,23/09/2019
SET1,FS10,SEVERN TRENT PLC,GB00B1FH8J72,B1FH8J7,DE,SHRS,GBX,TP_2,TM_47,GB,SVT,SEVERN TRENT,ORD 97 17/19P,N,750.0,1.0,5.0,20275674.0,35126960.0,27/04/2018
SET1,FS10,WHITBREAD PLC,GB00B1KJJ408,B1KJJ40,DE,SHRS,GBX,TP_2,TM_47,GB,WTB,WHITBREAD,ORD 76 122/153P,N,750.0,1.0,5.0,15382760.0,55927935.0,19/01/2018
SET1,FS10,HARGREAVES LANSDOWN PLC,GB00B1VZ0M25,B1VZ0M2,DE,SHRS,GBX,TP_2,TM_47,GB,HL.,HARGREAVES LANS,ORD 0.4P,N,2000.0,1.0,5.0,10254788.0,38622035.0,15/08/2017
SET1,FS10,SMITHS GROUP PLC,GB00B1WY2338,B1WY233,DE,SHRS,GBX,TP_2,TM_47,GB,SMIN,SMITHS GROUP,ORD 37.5P,N,1500.0,1.0,5.0,5607827.0,28387126.0,15/08/2017
SET1,FS10,DCC PLC,IE0002424939,0242493,IE,SHRS,GBX,TP_2,TM_47,IE,DCC,DCC,ORD EUR0.25 (CDI),N,300.0,1.0,5.0,7135511.0,34847296.0,15/03/2021
SET1,FS10,MONDI PLC,GB00B1CRLC47,B1CRLC4,DE,SHRS,GBX,TP_2,TM_47,GB,MNDI,MONDI,ORD EUR 0.20,N,1500.0,1.0,5.0,6774649.0,45037829.0,15/08/2017
SET1,FS10,3I GROUP PLC,GB00B1YW4409,B1YW440,DE,SHRS,GBX,TP_2,TM_47,GB,III,3I GRP.,ORD 73 19/22P,N,1500.0,1.0,5.0,11456942.0,47829101.0,15/08/2017
SET1,FS10,FRESNILLO PLC,GB00B2QPKJ12,B2QPKJ1,DE,SHRS,GBX,TP_2,TM_47,GB,FRES,FRESNILLO,ORD USD0.50,N,3000.0,1.0,5.0,5823387.0,26509266.0,23/03/2020
SET1,FS10,UNITED UTILITIES GROUP PLC,GB00B39J2M42,B39J2M4,DE,SHRS,GBX,TP_2,TM_47,GB,UU.,UTD. UTILITIES,ORD 5P,N,2000.0,1.0,5.0,11503595.0,36685560.0,15/08/2017
SET1,FS10,SEGRO PLC,GB00B5ZN1N88,B5ZN1N8,DE,SHRS,GBX,TP_2,TM_47,GB,SGRO,SEGRO,ORD 10P,N,1500.0,1.0,5.0,19106643.0,64458715.0,14/03/2022
SET1,FS10,ENTAIN PLC,IM00B5VQMV65,B5VQMV6,IE,SHRS,GBX,TP_2,TM_47,IM,ENT,ENTAIN,ORD EUR0.01,N,1500.0,1.0,5.0,17318660.0,97033426.0,10/12/2020
SET1,FS10,OCADO GROUP PLC,GB00B3MBS747,B3MBS74,DE,SHRS,GBX,TP_2,TM_47,GB,OCDO,OCADO,ORD 2P,N,2000.0,1.0,5.0,17717903.0,65077857.0,13/12/2021
SET1,FS10,INTL CONSOLIDATED AIRLINES GROUP SA,ES0177542018,B5M6XQ7,DE,SHRS,GBX,TP_2,TM_48,GB,IAG,INTL CONSOL AIR,ORD EUR0.10 (CDI),N,15000.0,1.0,5.0,80670702.0,144396444.0,11/09/2020
SET1,FS10,ROLLS-ROYCE HOLDINGS PLC,GB00B63H8491,B63H849,DE,SHRS,GBX,TP_2,TM_48,GB,RR.,ROLLS-ROYCE HLG,ORD SHS 20P,N,10000.0,1.0,5.0,42435703.0,101648530.0,16/09/2019
SET1,FS10,WPP PLC,JE00B8KF9B49,B8KF9B4,IE,SHRS,GBX,TP_2,TM_47,JE,WPP,WPP,ORD 10P,N,2000.0,1.0,5.0,14361135.0,67803339.0,17/12/2018
SET1,FS10,COCA-COLA HBC AG,CH0198251305,B9895B7,DE,SHRS,GBX,TP_2,TM_47,GB,CCH,COCACOLA HBC AG,ORD CHF6.70 (CDI),N,1500.0,1.0,5.0,16748606.0,36110586.0,15/08/2017
SET1,FS10,SAGE GROUP PLC,GB00B8C3BL03,B8C3BL0,DE,SHRS,GBX,TP_2,TM_47,GB,SGE,SAGE GRP.,ORD 1 4/77P,N,3000.0,1.0,5.0,10109023.0,48361517.0,23/03/2018
SET1,FS10,AVEVA GROUP PLC,GB00BBG9VN75,BBG9VN7,DE,SHRS,GBX,TP_2,TM_47,GB,AVV,AVEVA GRP,ORD 3 5/9P,N,750.0,1.0,5.0,9305835.0,28616112.0,24/06/2019
SET1,FS10,ROYAL MAIL PLC,GB00BDVZYZ77,BDVZYZ7,DE,SHRS,GBX,TP_2,TM_47,GB,RMG,ROYAL MAIL,ORD 1P,N,7500.0,1.0,5.0,7485357.0,39338170.0,28/05/2021
SET1,FS10,SCOTTISH MORTGAGE INV TST PLC,GB00BLDYK618,BLDYK61,DE,SHRS,GBX,TP_2,TM_47,GB,SMT,SCOTTISH MORT,ORD 5P,N,2000.0,1.0,5.0,10797281.0,63179707.0,14/03/2022
SET1,FS10,INFORMA PLC,GB00BMJ6DW54,BMJ6DW5,DE,SHRS,GBX,TP_2,TM_47,GB,INF,INFORMA,ORD 0.1P,N,3000.0,1.0,5.0,8995980.0,53531460.0,18/06/2018
SET1,FS10,B&M EUROPEAN VALUE RETAIL S.A.,LU1072616219,BMTRW10,DE,SHRS,GBX,TP_2,TM_47,GB,BME,B&M EUROPEAN,ORD 10P (DI),N,3000.0,1.0,5.0,9800458.0,46275160.0,21/09/2020
SET1,FS10,AUTO TRADER GROUP PLC,GB00BVYVFW23,BVYVFW2,DE,SHRS,GBX,TP_2,TM_47,GB,AUTO,AUTO TRAD,ORD 1P,N,3000.0,1.0,5.0,12326395.0,37473425.0,31/12/2018
SET1,FS10,SPIRAX-SARCO ENGINEERING PLC,GB00BWFGQN14,BWFGQN1,DE,SHRS,GBX,TP_2,TM_47,GB,SPX,SPIRAX-SARCO,ORD 26 12/13P,N,150.0,1.0,5.0,5451077.0,33212406.0,24/12/2018
SET1,FS10,SMURFIT KAPPA GROUP PLC,IE00B1RR8406,B1RR840,IE,SHRS,GBX,TP_2,TM_47,IE,SKG,SMURFIT KAP.,ORD EUR0.001 (CDI),N,500.0,1.0,5.0,44861693.0,40226382.0,15/03/2021
SET1,FS10,INTERMEDIATE CAPITAL GROUP PLC,GB00BYT1DJ19,BYT1DJ1,DE,SHRS,GBX,TP_2,TM_47,GB,ICP,INT.CAP.GRP,ORD 26 1/4P,N,1000.0,1.0,5.0,6420031.0,26380019.0,23/03/2020
SET1,FS10,PERSHING SQUARE HOLDINGS LTD,GG00BPFJTF46,BS7JCJ8,IE,SHRS,GBX,TP_2,TM_45,GG,PSH,PERSHING SQUARE,ORD NPV,N,750.0,1.0,5.0,3355924.0,7007513.0,21/12/2020
SET1,FS10,LAND SECURITIES GROUP PLC,GB00BYW0PQ60,BYW0PQ6,DE,SHRS,GBX,TP_2,TM_47,GB,LAND,LAND SECS.,ORD 10 2/3P,N,3000.0,1.0,5.0,7312515.0,30639343.0,24/10/2017
