,Stock,Epic,Qty,Price,Target,Stop,Buy Date,Sell,Sell Date,P/L
136,IMI,IMI,10,881.0,995,835,02/12/2010,960.0,07/03/2011,790.0
137,IMI,IMI,5,869.0,995,835,30/11/2010,960.0,07/03/2011,455.0
138,Supergroup,SGP,5,1545.0,1800,1485,26/11/2010,1472.0,15/12/2010,365.0
139,Yule,YULC,10,237.0,270,215,18/11/2010,196.0,02/08/2011,410.0
140,Fenner,FENR,20,291.0,340,275,18/11/2010,351.0,17/01/2011,1200.0
141,BTG,BCG,20,224.5,250,205,17/11/2010,265.0,03/08/2011,620.0
142,Cineworld,CINE,20,203.0,250,180,16/11/2010,208.0,07/06/2011,100.0
143,888,888,50,39.6,50,35,16/11/2010,58.0,20/12/2010,920.0
144,Hikma,HIK,5,748.0,800,720,15/11/2010,772.0,03/03/2011,120.0
145,Centamin,CEY,30,180.0,220,165,04/11/2010,161.0,19/01/2011,570.0
146,Bowleven,BLVN,30,189.0,450,170,03/11/2010,364.0,24/01/2011,5250.0
147,Carclo,CAR,20,192.0,300,160,27/10/2010,397.0,03/04/2013,4100.0
148,TT Electronic,TTG,30,151.0,200,140,14/10/2010,171.0,28/10/2010,600.0
149,Wood,WG.,10,520.0,700,460,14/10/2010,624.0,13/03/2011,1040.0
150,Abcam,ABC,10,370.0,500,300,14/10/2010,337.0,20/12/2010,330.0
151,Hikma,HIK,10,720.0,800,695,12/10/2010,772.0,03/03/2011,520.0
152,Heritage,HOIL,15,325.0,400,295,12/10/2010,380.0,25/01/2011,825.0
153,Cape,CIU,10,341.0,400,310,04/10/2010,410.0,,690.0
154,Afren,AFR,30,110.0,130,98,27/09/2010,146.0,28/02/2011,1080.0
155,Kentz,KENZ,15,288.0,320,270,27/09/2010,585.0,19/08/2013,4455.0
156,SportingBet,SBT,50,78.0,100,70,24/09/2010,69.0,14/10/2010,450.0
157,Xchanging,XCH,25,137.0,160,130,23/09/2010,139.0,09/10/2010,50.0
158,Eaga,EAGA,30,113.0,140,100,17/09/2010,101.0,20/10/2010,360.0
159,Andor,AND,30,332.0,400,300,17/09/2010,344.0,14/10/2010,360.0
160,Spirent,SPT,30,135.0,160,120,16/09/2010,145.0,13/01/2011,300.0
161,Morgan Sindall,MGNS,10,692.0,790,640,09/09/2010,670.0,04/10/2010,220.0
162,Micro Focus,MCRO,20,329.0,400,315,07/09/2010,373.0,05/10/2010,880.0
163,Yule,YULC,20,229.99,270,210,06/09/2010,196.0,02/09/2011,680.0
164,African Barrick,AGB,10,547.0,620,510,09/08/2010,616.0,14/09/2010,690.0
165,Yule,YULC,20,195.0,250,177,26/07/2010,196.0,02/08/2011,20.0
166,Mouchel,MCHL,30,93.0,150,90,21/07/2010,115.0,10/08/2010,660.0
167,Supergroup,SGP,10,808.0,1200,780,15/07/2010,1114.0,14/10/2010,3060.0
168,Mulberry,MUL,15,252.0,350,230,08/07/2010,934.0,11/12/2010,10230.0
169,Fresnillo,FRES,5,1013.0,1200,980,07/07/2010,1071.0,,280.0
170,Fresnillo,FRES,5,1015.0,1200,980,07/07/2010,1071.0,09/08/2010,290.0
171,Pace,PIC,30,164.8,190,150,06/07/2010,209.0,18/07/2010,1356.0
172,Supergroup,SGP,10,662.1,980,580,21/06/2010,1220.0,07/11/2010,4570.0
173,Supergroup,SGP,10,672.0,980,580,21/06/2010,805.0,13/07/2010,1330.0
174,Afren,AFR,50,84.5,98,76,21/05/2010,96.0,09/08/2010,575.0
175,SportingBet,SBT,50,60.0,75,55,10/05/2010,65.0,10/06/2010,250.0
176,Afren,AFR,50,84.5,100,79,05/05/2010,92.0,19/05/2010,755.0
177,Fenner,FENR,20,198.0,250,190,28/04/2010,216.0,15/06/2010,360.0
178,Easyjet,EZJ,10,459.0,500,430,19/04/2010,492.0,27/04/2010,330.0
179,Hunting,HTG,10,603.7,650,590,19/04/2010,587.0,27/04/2010,187.0
180,Domino Print,DNO,10,376.0,420,350,24/03/2010,425.0,05/05/2010,500.0
181,Fenner,FENR,20,205.0,230,190,16/03/2010,232.0,27/04/2010,540.0
182,Pace,PIC,30,175.0,210,165,11/03/2010,178.0,05/05/2010,60.0
183,Petrofac,PFC,5,1097.0,1300,1020,09/03/2010,1140.0,28/04/2010,205.0
184,Mouchel,MCHL,30,191.0,250,180,04/03/2010,205.0,30/03/2010,420.0
185,Centamin,CEY,30,120.0,140,108,02/03/2010,155.0,19/05/2010,1050.0
186,Afren,AFR,40,82.5,96,77,02/03/2010,146.0,28/01/2011,2540.0
187,SDL,SDL,30,415.0,480,395,09/02/2010,547.0,26/07/2010,3960.0
188,PZ Cussons,PZC,20,247.0,350,210,03/02/2010,354.0,27/07/2010,2140.0
189,Centamin,CEY,40,109.0,130,100,02/02/2010,118.0,12/02/2010,360.0
190,Beazley,BEZ,30,103.0,120,95,18/01/2010,115.0,25/02/2010,360.0
191,Kentz,KENZ,20,210.5,260,195,15/01/2010,585.0,19/08/2013,7500.0
192,Avanti,AVN,10,482.0,650,420,08/01/2010,454.0,08/03/2010,280.0
193,New Brit,NBPO,10,417.0,550,390,07/01/2010,424.0,28/01/2010,70.0
194,Spirent,SPT,30,106.5,130,97,07/01/2010,118.0,28/04/2010,360.0
195,Delta,DLTA,30,139.5,170,125,04/01/2010,144.5,18/01/2010,150.0
196,Heritage,HOIL,10,444.0,550,420,04/01/2010,541.0,18/01/2010,970.0
197,Micro Focus,MCRO,10,387.0,530,360,11/11/2009,536.0,15/04/2010,1490.0
198,Afren,AFR,50,84.5,150,70,10/11/2009,97.5,28/01/2010,650.0
199,Hunting,HTG,10,521.0,595,490,03/11/2009,528.0,19/11/2009,70.0
200,Centamin,CEY,30,124.0,170,98,26/10/2009,135.0,07/01/2010,330.0
201,Centamin,CEY,30,117.0,150,98,13/10/2009,121.0,20/01/2010,120.0
202,Eaga,EAGA,25,137.7,170,125,09/10/2009,130.0,04/05/2010,192.0
203,Dimension Data,DDT,200,67.7,100,62,05/10/2009,92.1,29/03/2010,4880.0
204,Intec Tel Sys,ITL,40,93.0,120,84,17/09/2009,113.0,15/02/2010,800.0
205,Aminex,AEX,500,8.1,12,7,17/09/2009,10.5,27/04/2010,1200.0
206,Spirent,SPT,40,84.0,100,75,14/09/2009,90.0,26/10/2009,240.0
207,Hardy,HDY,10,385.0,550,320,14/09/2009,374.4,23/10/2009,106.0
208,Vernalis,VER,35,96.0,140,85,14/09/2009,85.0,12/01/2010,385.0
209,London Capital,LCG,30,191.4,250,180,10/09/2009,204.0,05/10/2009,378.0
